"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0419047,10.295,0.117132,390.712,853.144,9.32397e-07,1.71595e-06,2.88383e-09,2.88383e-09,0,164,164
0.042173,10.3495,0.117132,390.712,853.144,9.32264e-07,1.71589e-06,2.77521e-09,2.77521e-09,0,165,165
0.0426949,10.4177,0.117132,390.712,853.144,9.32126e-07,1.71583e-06,2.92312e-09,2.92312e-09,0,166,166
0.0429743,10.4737,0.117132,390.712,853.144,9.31985e-07,1.71577e-06,2.808e-09,2.808e-09,0,167,167
0.0435234,10.5444,0.117132,390.712,853.144,9.31839e-07,1.71571e-06,2.96381e-09,2.96381e-09,0,168,168
0.0438141,10.602,0.117132,390.712,853.144,9.31689e-07,1.71564e-06,2.84184e-09,2.84184e-09,0,169,169
0.0443916,10.6752,0.117132,390.712,853.144,9.31535e-07,1.71558e-06,3.00596e-09,3.00596e-09,0,170,170
0.0446939,10.7344,0.117132,390.712,853.144,9.31376e-07,1.71551e-06,2.87676e-09,2.87676e-09,0,171,171
0.0453013,10.8103,0.117132,390.712,853.144,9.31213e-07,1.71544e-06,3.04964e-09,3.04964e-09,0,172,172
0.0456153,10.8712,0.117132,390.712,853.144,9.31044e-07,1.71537e-06,2.9128e-09,2.9128e-09,0,173,173
0.0462558,10.95,0.117132,390.712,853.144,9.30871e-07,1.71529e-06,3.09493e-09,3.09493e-09,0,174,174
0.0465869,11.013,0.117132,390.712,853.144,9.30692e-07,1.71521e-06,2.9569e-09,2.9569e-09,0,175,175
0.0472679,11.0953,0.117132,390.712,853.144,9.30508e-07,1.71513e-06,3.14222e-09,3.14222e-09,0,176,176
0.0476198,11.1607,0.117132,390.712,853.144,9.30319e-07,1.71505e-06,3.00358e-09,3.00358e-09,0,177,177
0.0483453,11.2468,0.117132,390.712,853.144,9.30124e-07,1.71497e-06,3.19174e-09,3.19174e-09,0,178,178
0.04872,11.3148,0.117132,390.712,853.144,9.29924e-07,1.71488e-06,3.05254e-09,3.05254e-09,0,179,179
0.0494937,11.4049,0.117132,390.712,853.144,9.29717e-07,1.71479e-06,3.24367e-09,3.24367e-09,0,180,180
0.0498936,11.4757,0.117132,390.712,853.144,9.29504e-07,1.7147e-06,3.10394e-09,3.10394e-09,0,181,181
0.0507198,11.5703,0.117132,390.712,853.144,9.29286e-07,1.7146e-06,3.29819e-09,3.29819e-09,0,182,182
0.0511475,11.6442,0.117132,390.712,853.144,9.2906e-07,1.7145e-06,3.15799e-09,3.15799e-09,0,183,183
0.0520311,11.7435,0.117132,390.712,853.144,9.28828e-07,1.7144e-06,3.35551e-09,3.35551e-09,0,184,184
0.0524894,11.8207,0.117132,390.712,853.144,9.28588e-07,1.7143e-06,3.21491e-09,3.21491e-09,0,185,185
0.0534358,11.9253,0.117132,390.712,853.144,9.28342e-07,1.71419e-06,3.41589e-09,3.41589e-09,0,186,186
0.0539282,12.0061,0.117132,390.712,853.144,9.28088e-07,1.71408e-06,3.27494e-09,3.27494e-09,0,187,187
0.0549434,12.1163,0.117132,390.712,853.144,9.27827e-07,1.71396e-06,3.47958e-09,3.47958e-09,0,188,188
0.0554738,12.2011,0.117132,390.712,853.144,9.27557e-07,1.71384e-06,3.33837e-09,3.33837e-09,0,189,189
0.0565648,12.3175,0.117132,390.712,853.144,9.2728e-07,1.71372e-06,3.54689e-09,3.54689e-09,0,190,190
0.0571375,12.4067,0.117132,390.712,853.144,9.26995e-07,1.7136e-06,3.40551e-09,3.40551e-09,0,191,191
0.0583122,12.5299,0.117132,390.712,853.144,9.26701e-07,1.71347e-06,3.61817e-09,3.61817e-09,0,192,192
0.0589325,12.6238,0.117132,390.712,853.144,9.26397e-07,1.71333e-06,3.47673e-09,3.47673e-09,0,193,193
0.0601997,12.7546,0.117132,390.712,853.144,9.26085e-07,1.71319e-06,3.69379e-09,3.69379e-09,0,194,194
0.0608736,12.8538,0.117132,390.712,853.144,9.25763e-07,1.71305e-06,3.55242e-09,3.55242e-09,0,195,195
0.0622437,12.9929,0.117132,390.712,853.144,9.25432e-07,1.7129e-06,3.77422e-09,3.77422e-09,0,196,196
0.0629781,13.098,0.117132,390.712,853.144,9.2509e-07,1.71275e-06,3.63308e-09,3.63308e-09,0,197,197
0.0644629,13.2462,0.117132,390.712,853.144,9.24738e-07,1.71259e-06,3.85996e-09,3.85996e-09,0,198,198
0.0652663,13.3579,0.117132,390.712,853.144,9.24375e-07,1.71243e-06,3.71923e-09,3.71923e-09,0,199,199
0.0668796,13.5163,0.117132,390.712,853.144,9.24001e-07,1.71226e-06,3.95161e-09,3.95161e-09,0,200,200
0.0677616,13.6353,0.117132,390.712,853.144,9.23615e-07,1.71209e-06,3.81151e-09,3.81151e-09,0,201,201
0.0695195,13.8053,0.117132,390.712,853.144,9.23218e-07,1.71191e-06,4.04986e-09,4.04986e-09,0,202,202
0.0704917,13.9326,0.117132,390.712,853.144,9.22808e-07,1.71172e-06,3.91066e-09,3.91066e-09,0,203,203
0.0724131,14.1153,0.117132,390.712,853.144,9.22387e-07,1.71153e-06,4.15553e-09,4.15553e-09,0,204,204
0.0734896,14.2521,0.117132,390.712,853.144,9.21951e-07,1.71133e-06,4.01754e-09,4.01754e-09,0,205,205
0.0755968,14.4494,0.117132,390.712,853.144,9.21502e-07,1.71113e-06,4.26957e-09,4.26957e-09,0,206,206
0.0767944,14.5968,0.117132,390.712,853.144,9.21039e-07,1.71092e-06,4.1332e-09,4.1332e-09,0,207,207
0.079114,14.8107,0.117132,390.712,853.144,9.20562e-07,1.7107e-06,4.39314e-09,4.39314e-09,0,208,208
0.0804533,14.9704,0.117132,390.712,853.144,9.20069e-07,1.71047e-06,4.25885e-09,4.25885e-09,0,209,209
0.0830174,15.2032,0.117132,390.712,853.144,9.19562e-07,1.71024e-06,4.52761e-09,4.52761e-09,0,210,210
0.0845235,15.3772,0.117132,390.712,853.144,9.19038e-07,1.71e-06,4.396e-09,4.396e-09,0,211,211
0.087371,15.6317,0.117132,390.712,853.144,9.18498e-07,1.70975e-06,4.67464e-09,4.67464e-09,0,212,212
0.0890752,15.8224,0.117132,390.712,853.144,9.1794e-07,1.70949e-06,4.54645e-09,4.54645e-09,0,213,213
0.0922538,16.1022,0.117132,390.712,853.144,9.17365e-07,1.70922e-06,4.83629e-09,4.83629e-09,0,214,214
0.0941952,16.3126,0.117132,390.712,853.144,9.1677e-07,1.70894e-06,4.71245e-09,4.71245e-09,0,215,215
0.0977642,16.6219,0.117132,390.712,853.144,9.16158e-07,1.70865e-06,5.0151e-09,5.0151e-09,0,216,216
0.0999925,16.8556,0.117132,390.712,853.144,9.15524e-07,1.70836e-06,4.8968e-09,4.8968e-09,0,217,217
0.104026,17.2,0.117132,390.712,853.144,9.14872e-07,1.70805e-06,5.21425e-09,5.21425e-09,0,218,218
