"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00947,0.140558,0.0224121,1.51183e-06,0.13924,0.0126265,0.00841766,0.101296,1.64839,1.18111,187,187,0.00744,0,0
1.00987,0.14056,0.0224175,1.5158e-06,0.139187,0.0126354,0.00842363,0.101328,1.64852,1.18047,188,188,0.00748,0,0
1.01003,0.140558,0.0224231,1.51987e-06,0.139161,0.012643,0.00842867,0.101372,1.6487,1.18,189,189,0.00752,0,0
1.01045,0.14056,0.0224288,1.52406e-06,0.139106,0.0126525,0.00843498,0.101406,1.64883,1.17933,190,190,0.00756,0,0
1.01064,0.140558,0.0224348,1.52836e-06,0.139078,0.0126605,0.00844035,0.101452,1.64902,1.17883,191,191,0.0076,0,0
1.01108,0.14056,0.0224409,1.53279e-06,0.13902,0.0126706,0.00844703,0.101488,1.64917,1.17813,192,192,0.00764,0,0
1.01128,0.140558,0.0224472,1.53734e-06,0.13899,0.0126791,0.00845275,0.101536,1.64937,1.17759,193,193,0.00768,0,0
1.01174,0.14056,0.0224537,1.54201e-06,0.138929,0.0126897,0.00845982,0.101575,1.64952,1.17685,194,194,0.00772,0,0
1.01196,0.140558,0.0224603,1.54682e-06,0.138897,0.0126989,0.00846591,0.101626,1.64973,1.17628,195,195,0.00776,0,0
1.01245,0.14056,0.0224672,1.55176e-06,0.138832,0.0127101,0.0084734,0.101667,1.6499,1.1755,196,196,0.0078,0,0
