"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
9186.92,37.8321,7.11103e-05,0.000184477,1.85338e-06,1.85338e-06,0,279,279
8761.8,35.9702,7.09533e-05,0.000184277,1.77492e-06,1.77492e-06,0,280,280
8563.17,35.6307,7.0805e-05,0.000184087,1.72238e-06,1.72238e-06,0,281,281
8192.41,33.9778,7.06658e-05,0.000183909,1.6543e-06,1.6543e-06,0,282,282
8018.01,33.6894,7.05342e-05,0.00018374,1.60665e-06,1.60665e-06,0,283,283
7692.48,32.2152,7.04107e-05,0.000183582,1.54741e-06,1.54741e-06,0,284,284
7537.8,31.9639,7.02939e-05,0.000183432,1.50383e-06,1.50383e-06,0,285,285
7250.26,30.6437,7.01843e-05,0.00018329,1.45219e-06,1.45219e-06,0,286,286
7111.85,30.4195,7.00806e-05,0.000183157,1.41205e-06,1.41205e-06,0,287,287
6856.49,29.2328,6.99833e-05,0.000183031,1.36696e-06,1.36696e-06,0,288,288
6731.64,29.0284,6.98911e-05,0.000182912,1.32976e-06,1.32976e-06,0,289,289
6503.74,27.9584,6.98046e-05,0.0001828,1.29037e-06,1.29037e-06,0,290,290
6390.34,27.7683,6.97227e-05,0.000182694,1.2557e-06,1.2557e-06,0,291,291
6186.02,26.8005,6.96458e-05,0.000182594,1.22126e-06,1.22126e-06,0,292,292
6082.35,26.6209,6.9573e-05,0.0001825,1.1888e-06,1.1888e-06,0,293,293
5898.42,25.7433,6.95046e-05,0.000182411,1.1587e-06,1.1587e-06,0,294,294
5803.12,25.5713,6.94399e-05,0.000182327,1.12818e-06,1.12818e-06,0,295,295
5636.89,24.7734,6.9379e-05,0.000182247,1.10188e-06,1.10188e-06,0,296,296
5548.83,24.6071,6.93214e-05,0.000182172,1.07306e-06,1.07306e-06,0,297,297
5398.05,23.8798,6.92673e-05,0.000182102,1.05011e-06,1.05011e-06,0,298,298
5316.33,23.7178,6.9216e-05,0.000182035,1.02281e-06,1.02281e-06,0,299,299
5179.09,23.0532,6.91678e-05,0.000181972,1.0028e-06,1.0028e-06,0,300,300
5102.93,22.8945,6.91222e-05,0.000181913,9.76871e-07,9.76871e-07,0,301,301
4977.61,22.286,6.90793e-05,0.000181857,9.59461e-07,9.59461e-07,0,302,302
4906.37,22.1299,6.90386e-05,0.000181804,9.34753e-07,9.34753e-07,0,303,303
4791.59,21.5714,6.90005e-05,0.000181754,9.19642e-07,9.19642e-07,0,304,304
